time,Time,pH,T,DO,F,G,Q,L,A,P
0,399,6.667676836,38.41334544,0.360832288,0.020722153,591.9942184,47.85567051,102.0538369,9.509481647,51.02691843
1,400,6.667676836,38.41334544,0.360832288,0.020722153,592.0964559,47.86202119,102.0554612,9.512051657,51.02773062
2,401,6.667676836,38.41334544,0.360832288,0.020722153,592.1996679,47.86852884,102.0529811,9.514394367,51.02649057
3,402,6.667676836,38.41334544,0.360832288,0.020722153,592.3038547,47.87519347,102.0463966,9.516509776,51.02319829
4,403,6.667676836,38.41334544,0.360832288,0.020722153,592.409016,47.88201507,102.0357075,9.518397884,51.01785376
5,404,6.667676836,38.41334544,0.360832288,0.020722153,592.5151521,47.88899366,102.020914,9.520058692,51.010457
6,405,6.667676836,38.41334544,0.360832288,0.020722153,592.6222627,47.89612921,102.002016,9.521492198,51.001008
7,406,6.667676836,38.41334544,0.360832288,0.020722153,592.7303079,47.90341631,101.9791136,9.522704098,50.98955681
8,407,6.667676836,38.41334544,0.360832288,0.020722153,592.8379886,47.91067913,101.9554416,9.523878447,50.97772081
9,408,6.667676836,38.41334544,0.360832288,0.020722153,592.9463219,47.91805531,101.9284676,9.524871151,50.96423378
10,409,6.667676836,38.41334544,0.360832288,0.020722153,593.0553076,47.92554486,101.8981914,9.52568221,50.94909571
11,410,6.667676836,38.41334544,0.360832288,0.020722153,593.1649458,47.93314778,101.8646132,9.526311624,50.93230661
12,411,6.667676836,38.41334544,0.360832288,0.020722153,593.2752364,47.94086406,101.8277329,9.526759392,50.91386647
13,412,6.667676836,38.41334544,0.360832288,0.020722153,593.3861795,47.9486937,101.7875506,9.527025516,50.8937753
14,413,6.667676836,38.41334544,0.360832288,0.020722153,593.4977751,47.95663671,101.7440662,9.527109994,50.87203309
15,414,6.667676836,38.41334544,0.360832288,0.020722153,593.60941,47.96461732,101.6987055,9.527089046,50.84935277
16,415,6.667676836,38.41334544,0.360832288,0.020722153,593.7208407,47.97260475,101.6520443,9.526993927,50.82602216
17,416,6.667676836,38.41334544,0.360832288,0.020722153,593.8324523,47.98064626,101.6031918,9.526777281,50.80159589
18,417,6.667676836,38.41334544,0.360832288,0.020722153,593.9441943,47.98873542,101.552268,9.52644566,50.77613399
19,418,6.667676836,38.41334544,0.360832288,0.020722153,594.0560163,47.9968658,101.499393,9.526005617,50.74969648
20,419,6.667676836,38.41334544,0.360832288,0.020722153,594.1678677,48.00503098,101.4446868,9.525463704,50.72234341
21,420,6.667676836,38.41334544,0.360832288,0.020722153,594.279698,48.01322452,101.3882696,9.524826474,50.69413481
22,421,6.667676836,38.41334544,0.360832288,0.020722153,594.3914567,48.02144,101.3302614,9.524100479,50.66513072
23,422,6.667676836,38.41334544,0.360832288,0.020722153,594.5030931,48.02967099,101.2707823,9.523292272,50.63539116
24,423,6.667676836,38.41334544,0.360832288,0.020722153,594.6145458,48.03791005,101.2099742,9.522409304,50.60498708
25,424,6.667676836,38.41334544,0.360832288,0.020722153,594.725406,48.04611778,101.1486614,9.521487092,50.57433071
26,425,6.667676836,38.41334544,0.360832288,0.020722153,594.835879,48.05431131,101.0864608,9.520511492,50.54323042
27,426,6.667676836,38.41334544,0.360832288,0.020722153,594.9459036,48.06248322,101.0235136,9.519489926,50.51175681
28,427,6.667676836,38.41334544,0.360832288,0.020722153,595.0554186,48.07062609,100.959961,9.518429816,50.4799805
29,428,6.667676836,38.41334544,0.360832288,0.020722153,595.1643627,48.07873251,100.8959442,9.517338585,50.4479721
30,429,6.667676836,38.41334544,0.360832288,0.020722153,595.2726745,48.08679506,100.8316044,9.516223654,50.41580221
31,430,6.667676836,38.41334544,0.360832288,0.020722153,595.3802928,48.09480632,100.7670829,9.515092447,50.38354145
32,431,6.667676836,38.41334544,0.360832288,0.020722153,595.4871564,48.10275888,100.7025209,9.513952386,50.35126043
33,432,6.667676836,38.41334544,0.360832288,0.020722153,595.593204,48.11064531,100.6380595,9.512810894,50.31902974
34,433,6.667676836,38.41334544,0.360832288,0.020722153,595.6984051,48.11846598,100.5737532,9.511667277,50.28687659
35,434,6.667676836,38.41334544,0.360832288,0.020722153,595.802709,48.12621608,100.509714,9.510526239,50.25485701
36,435,6.667676836,38.41334544,0.360832288,0.020722153,595.9060326,48.13388275,100.4461439,9.50940087,50.22307195
37,436,6.667676836,38.41334544,0.360832288,0.020722153,596.0083167,48.14145903,100.383179,9.508298125,50.19158952
38,437,6.667676836,38.41334544,0.360832288,0.020722153,596.1095015,48.14893795,100.3209556,9.507224957,50.16047782
39,438,6.667676836,38.41334544,0.360832288,0.020722153,596.2095277,48.15631254,100.2596099,9.506188321,50.12980495
40,439,6.667676836,38.41334544,0.360832288,0.020722153,596.3083357,48.16357582,100.199278,9.505195171,50.09963902
41,440,6.667676836,38.41334544,0.360832288,0.020722153,596.405866,48.17072084,100.1400963,9.504252461,50.07004813
